@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
2318,'2024/04/23 23:41:17:288',5,244,136,59,0.9,0.9,0.5
2319,'2024/04/23 23:41:17:322',5,244,137,57,0.9,0.9,0.5
2320,'2024/04/23 23:41:17:354',5,244,137,57,0.9,0.9,0.5
2321,'2024/04/23 23:41:17:388',5,243,135,60,0.9,0.9,0.5
2322,'2024/04/23 23:41:17:422',5,243,136,59,0.9,0.9,0.5
2323,'2024/04/23 23:41:17:455',5,243,136,59,0.9,0.9,0.5
2324,'2024/04/23 23:41:17:489',5,244,138,60,0.9,0.9,0.5
2325,'2024/04/23 23:41:17:521',5,244,138,60,0.9,0.9,0.5
2326,'2024/04/23 23:41:17:552',5,241,136,65,0.9,0.9,0.5
2327,'2024/04/23 23:41:17:588',5,241,136,65,0.9,0.9,0.5
2328,'2024/04/23 23:41:17:622',5,241,136,65,0.9,0.9,0.5
2329,'2024/04/23 23:41:17:659',5,244,141,59,0.9,0.9,0.5
2330,'2024/04/23 23:41:17:690',5,244,141,59,0.9,0.9,0.5
2331,'2024/04/23 23:41:17:727',5,244,141,59,0.9,0.9,0.5
2332,'2024/04/23 23:41:17:761',5,240,140,65,0.9,0.9,0.5
2333,'2024/04/23 23:41:17:793',5,240,140,65,0.9,0.9,0.5
2334,'2024/04/23 23:41:17:827',5,242,142,63,0.9,0.9,0.5
2335,'2024/04/23 23:41:17:861',5,242,142,63,0.9,0.9,0.5
2336,'2024/04/23 23:41:17:894',5,243,143,62,0.9,0.9,0.5
2337,'2024/04/23 23:41:17:932',5,243,143,62,0.9,0.9,0.5
2338,'2024/04/23 23:41:17:967',5,240,141,69,0.9,0.9,0.5
2339,'2024/04/23 23:41:18:001',5,240,141,69,0.9,0.9,0.5
2340,'2024/04/23 23:41:18:038',5,246,147,60,0.9,0.9,0.5
2341,'2024/04/23 23:41:18:072',5,246,147,60,0.9,0.9,0.5
2342,'2024/04/23 23:41:18:105',5,246,147,60,0.9,0.9,0.5
2343,'2024/04/23 23:41:18:138',5,246,147,60,0.9,0.9,0.5
2344,'2024/04/23 23:41:18:169',5,246,147,60,0.9,0.9,0.5
2345,'2024/04/23 23:41:18:205',5,246,147,60,0.9,0.9,0.5
2346,'2024/04/23 23:41:18:237',5,250,153,56,0.9,0.9,0.5
2347,'2024/04/23 23:41:18:272',5,250,153,56,0.9,0.9,0.5
2348,'2024/04/23 23:41:18:304',5,250,153,56,0.9,0.9,0.5
2349,'2024/04/23 23:41:18:339',5,250,153,56,0.9,0.9,0.5
2350,'2024/04/23 23:41:18:371',5,249,152,58,0.9,0.9,0.5
2351,'2024/04/23 23:41:18:406',5,249,152,58,0.9,0.9,0.5
2352,'2024/04/23 23:41:18:437',5,249,152,58,0.9,0.9,0.5
2353,'2024/04/23 23:41:18:470',5,249,152,58,0.9,0.9,0.5
2354,'2024/04/23 23:41:18:504',5,249,152,58,0.9,0.9,0.5
2355,'2024/04/23 23:41:18:538',5,249,152,58,0.9,0.9,0.5
2356,'2024/04/23 23:41:18:572',5,249,152,58,0.9,0.9,0.5
2357,'2024/04/23 23:41:18:605',5,249,152,58,0.9,0.9,0.5
2358,'2024/04/23 23:41:18:639',5,248,151,60,0.9,0.89,0.5
2359,'2024/04/23 23:41:18:677',5,248,151,60,0.9,0.89,0.5
2360,'2024/04/23 23:41:18:709',5,248,151,60,0.9,0.89,0.5
2361,'2024/04/23 23:41:18:742',5,248,151,60,0.9,0.88,0.5
2362,'2024/04/23 23:41:18:776',5,248,149,60,0.9,0.88,0.5
2363,'2024/04/23 23:41:18:813',5,248,149,60,0.9,0.88,0.5
2364,'2024/04/23 23:41:18:849',5,247,143,66,0.9,0.87,0.5
2365,'2024/04/23 23:41:18:880',5,247,143,66,0.9,0.87,0.5
2366,'2024/04/23 23:41:18:911',5,251,146,56,0.9,0.87,0.5
2367,'2024/04/23 23:41:18:947',5,251,146,56,0.9,0.87,0.5
2368,'2024/04/23 23:41:18:981',5,251,146,56,0.9,0.86,0.5
2369,'2024/04/23 23:41:19:013',5,251,146,56,0.9,0.86,0.5
2370,'2024/04/23 23:41:19:046',5,249,140,62,0.9,0.86,0.5
2371,'2024/04/23 23:41:19:078',5,249,140,62,0.9,0.85,0.5
2372,'2024/04/23 23:41:19:114',5,250,140,59,0.9,0.85,0.5
2373,'2024/04/23 23:41:19:148',5,250,138,61,0.9,0.85,0.5
2374,'2024/04/23 23:41:19:183',5,250,138,61,0.9,0.85,0.5
2375,'2024/04/23 23:41:19:217',5,250,138,61,0.9,0.84,0.5
2376,'2024/04/23 23:41:19:250',5,251,138,59,0.9,0.84,0.5
2377,'2024/04/23 23:41:19:284',5,251,138,59,0.9,0.84,0.5
2378,'2024/04/23 23:41:19:319',5,252,138,55,0.9,0.84,0.5
2379,'2024/04/23 23:41:19:351',5,252,138,55,0.9,0.83,0.5
2380,'2024/04/23 23:41:19:384',5,253,136,55,0.9,0.83,0.5
2381,'2024/04/23 23:41:19:419',5,253,136,55,0.9,0.83,0.5
2382,'2024/04/23 23:41:19:455',5,251,131,61,0.9,0.82,0.5
2383,'2024/04/23 23:41:19:488',5,253,131,59,0.9,0.82,0.5
2384,'2024/04/23 23:41:19:523',5,253,131,59,0.9,0.81,0.5
2385,'2024/04/23 23:41:19:555',5,253,131,59,0.9,0.81,0.5
2386,'2024/04/23 23:41:19:589',5,253,131,59,0.9,0.8,0.5
2387,'2024/04/23 23:41:19:623',5,253,131,59,0.9,0.8,0.5
2388,'2024/04/23 23:41:19:666',5,252,128,61,0.9,0.79,0.5
2389,'2024/04/23 23:41:19:709',5,252,127,62,0.9,0.78,0.5
